league_id,competition_name,gender,first_season,last_season,tier
12,La Liga,M,1988-1989,2025-2026,1st
230,Liga F,F,2022-2023,2025-2026,1st
17,Spanish Segunda División,M,2001-2002,2025-2026,2nd
