league_id,competition_name,gender,first_season,last_season,tier
521,DFB-Pokal,M,2014-2015,2025-2026,
606,Franz Beckenbauer Supercup,M,2014,2025,
520,DFB-Pokal Frauen,F,2019-2020,2025-2026,
