league_id,competition_name,gender,first_season,last_season,tier
20,Fußball-Bundesliga,M,1988-1989,2025-2026,1st
183,Frauen-Bundesliga,F,2016-2017,2025-2026,1st
33,2. Fußball-Bundesliga,M,2003-2004,2025-2026,2nd
59,3. Fußball-Liga,M,2009-2010,2025-2026,3rd
