league_id,competition_name,gender,first_season,last_season,tier
9,Premier League,M,1888-1889,2025-2026,1st
189,FA Women's Super League,F,2017,2025-2026,1st
10,EFL Championship,M,2001-2002,2025-2026,2nd
15,EFL League One,M,2002-2003,2025-2026,3rd
16,EFL League Two,M,2002-2003,2025-2026,4th
34,National League,M,2006-2007,2025-2026,5th
